TEAM,BAND,quantile,n_seconds,n_shots,boundary_slope,value_slope,relaxation_ratio,mean_gap
PHI,middle,0.05,8,21669,0.013841312173829216,0.014472238075905171,0.9564044000128505,-0.014544263758070818
PHI,early,0.05,8,12189,0.005545101551740761,0.009226629880502114,0.6009888359626057,-0.03669288074365236
PHX,late,0.05,7,9900,0.01932922732408571,0.040907958980513234,0.47250529739929853,0.11417198391816208
PHX,middle,0.05,8,21905,0.010161120615991736,0.014907741219623072,0.6816002817795526,-0.009103465929488498
PHX,early,0.05,8,13273,0.005770759468348063,0.00884974425389703,0.6520820605416795,-0.04136726262993332
POR,late,0.05,7,11072,0.018866080371191026,0.043625152102678096,0.43245878723326814,0.1329119576201032
POR,middle,0.05,8,23047,0.0019307390124636357,0.01425050130555196,0.13548569071822228,0.00871889521360703
POR,early,0.05,8,11293,0.002224633184428385,0.006705663085836173,0.33175439266062995,-0.03323477183374258
SAC,late,0.05,7,9760,0.02119325913266054,0.03863146840927631,0.5486009205793365,0.061551673354415574
SAC,middle,0.05,8,22095,0.003467558080671188,0.015928953464638206,0.21768900815543607,-0.04476463793757401
SAC,early,0.05,8,12758,0.011013963203515494,0.0093263203202236,1.180954848787719,-0.0822380959517533
SAS,late,0.05,7,10892,0.017769083953419813,0.04430629573287988,0.4010509942096853,0.07583912362517799
SAS,middle,0.05,8,22963,0.010423375456208075,0.01344203956268893,0.7754310949314744,-0.04031461157291816
SAS,early,0.05,8,10839,0.005398825693411642,0.007165523207821916,0.7534447292722827,-0.061964873448625515
TOR,late,0.05,7,10797,0.027730066422163503,0.03739256684690794,0.741593015951419,0.0637001185237475
TOR,middle,0.05,8,20685,0.008528072273338277,0.013899359034766353,0.6135586721666143,-0.004613946453404229
TOR,early,0.05,8,12479,0.010424978649733479,0.009375057958174775,1.1119908480825127,-0.030682578848114338
UTA,late,0.05,7,11212,0.016960365987406884,0.03806581295708402,0.4455537572920946,0.05172679811064123
UTA,middle,0.05,8,21339,0.009673798624509311,0.012818003819919488,0.754703989826871,-0.04854850936660766
UTA,early,0.05,8,10334,0.0096517673138682,0.006063551154058348,1.591768102328658,-0.04529767959528665
WAS,late,0.05,7,9627,0.01845627234961959,0.04115377955598765,0.4484708949881689,0.061210463530084344
WAS,middle,0.05,8,22279,0.0018112744093907221,0.016178430781395334,0.11195612441434236,-0.0450006640244259
WAS,early,0.05,8,13407,0.01119739616738468,0.009720504575362493,1.151935692285512,-0.08688752324153282
